uin,archive_status,financial_year,insurer,product_name,approval_date,product_type,document_url,document_text,scraped_at
ACKHLGP21469V022021,Non-Archived,2020-2021,Acko General Insurance Co. Ltd.,Acko Group Health Insurance Policy,28-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/ACKHLGP21469V022021_2020-2021.pdf/410f8cbb-9e73-e08e-d075-5a7899fdfdc0?version=1.1&t=1668578026890&download=true,ACKHLGP21469V022021_2020-2021.pdf,2026-08-20T14:23:13.912425+00:00
ACKHLGP21470V022021,Non-Archived,2020-2021,Acko General Insurance Co. Ltd.,Acko Group Health OPD Wallet,28-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/ACKHLGP21470V022021_2020-2021.pdf/02f826bf-c5a2-19a0-54e3-b51d21bfad1b?version=1.1&t=1668578198593&download=true,ACKHLGP21470V022021_2020-2021.pdf,2026-08-20T14:23:13.912425+00:00
ACKHLIP20039V012021,Non-Archived,2020-2021,Acko General Insurance Co. Ltd.,Acko Health Insurance policy,21-05-2020,New,https://irdai.gov.in/documents/37343/931203/ACKHLIP20039V012021_2020-2021.pdf/9d098b92-18c6-bfde-7c23-2dcbf75aa06a?version=1.1&t=1668578569102&download=true,ACKHLIP20039V012021_2020-2021.pdf,2026-08-20T14:23:13.912425+00:00
ACKHLIP20183V011920,Non-Archived,2019-2020,Acko General Insurance Co. Ltd.,"Arogya Sanjeevani Policy, Acko General Insurance Ltd",04-01-2020,New,https://irdai.gov.in/documents/37343/931203/ACKHLIP20183V011920_2019-2020.pdf/4be7c51c-9483-9517-d04e-a526e601f44b?version=1.1&t=1668510453603&download=true,ACKHLIP20183V011920_2019-2020.pdf,2026-08-20T14:23:13.912425+00:00
ACKHLIP21105V012021,Non-Archived,2020-2021,Acko General Insurance Co. Ltd.,"Corona Kavach Policy, Acko General Insurance Ltd",07-08-2020,New,https://irdai.gov.in/documents/37343/931203/ACKHLIP21105V012021_2020-2021.pdf/e7a35c53-3c9a-899f-e8ba-15eb5142d68f?version=1.1&t=1668155063605&download=true,ACKHLIP21105V012021_2020-2021.pdf,2026-08-20T14:23:13.912425+00:00
ACKTGDP18115V021718,Non-Archived,2018-2019,Acko General Insurance Co. Ltd.,Group Domestic Travel Insurance,09-04-2018,Group,https://irdai.gov.in/documents/37343/931203/ACKTGDP18115V021718_2018-2019.pdf/0475942c-6bdb-4349-befe-eda8a2b2dc11?version=1.1&t=1668495432355&download=true,ACKTGDP18115V021718_2018-2019.pdf,2026-08-20T14:23:13.912425+00:00
ACKTGDP21526V032021,Non-Archived,2020-2021,Acko General Insurance Co. Ltd.,Group Domestic Travel Insurance Policy,30-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/ACKTGDP21526V032021_2020-2021.pdf/5e1a293b-16e1-7e5a-add3-4e558244f2c1?version=1.1&t=1668578519061&download=true,ACKTGDP21526V032021_2020-2021.pdf,2026-08-20T14:23:13.912425+00:00
ACKTGDP18115V011718,Non-Archived,2017-2018,Acko General Insurance Co. Ltd.,Group Domestic Travel Insurance Policy,02-02-2018,,https://irdai.gov.in/documents/37343/931203/Ack_GroupDomesticTravel_2017-2018.pdf/a18b2e56-b07f-db36-007e-d6482a1f65e3?version=1.1&t=1668421303397&download=true,Ack_GroupDomesticTravel_2017-2018.pdf,2026-08-20T14:23:13.912425+00:00
ACKHLGP21472V022021,Non-Archived,2020-2021,Acko General Insurance Co. Ltd.,Group Health & Accident Care,28-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/ACKHLGP21472V022021_2020-2021.pdf/106c3fd5-092a-328a-0132-ebd6cff30c57?version=1.1&t=1668578273620&download=true,ACKHLGP21472V022021_2020-2021.pdf,2026-08-20T14:23:13.912425+00:00
ACKPAGP21527V022021,Non-Archived,2020-2021,Acko General Insurance Co. Ltd.,Group Personal Accident Policy,30-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/ACKPAGP21527V022021_2020-2021.pdf/cdb202d9-e977-bb59-9963-98a8151e1298?version=1.1&t=1668578335647&download=true,ACKPAGP21527V022021_2020-2021.pdf,2026-08-20T14:23:13.912425+00:00
ACKTGBP21525V022021,Non-Archived,2020-2021,Acko General Insurance Co. Ltd.,Group Travel Insurance Policy,30-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/ACKTGBP21525V022021_2020-2021.pdf/1e4e1955-5fc4-f511-93b4-5e45d1e4c4f1?version=1.1&t=1668578402902&download=true,ACKTGBP21525V022021_2020-2021.pdf,2026-08-20T14:23:13.912425+00:00
ACKHLGP21471V022021,Non-Archived,2020-2021,Acko General Insurance Co. Ltd.,Secure Shield,28-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/ACKHLGP21471V022021_2020-2021.pdf/5bb319ac-d810-7036-ac17-fa2269beb23e?version=1.1&t=1668578233057&download=true,ACKHLGP21471V022021_2020-2021.pdf,2026-08-20T14:23:13.912425+00:00
