uin,url,path,sha256,bytes,downloaded_at,status,error
ADIHLIP21574V032021,https://irdai.gov.in/documents/37343/931203/ADIHLIP21574V032021_2020-2021.pdf/0b0783bb-0000-9a96-54b3-729f4cc5974d?version=1.1&t=1668578608012&download=true,data\policies\aditya-birla-health-insurance-company-limited\adihlip21574v032021\activ-health_de2ebfa0cc0f.pdf,de2ebfa0cc0fd02b3edae1e4fc623c91154ffd632f3e2cfea2fc8e29de626cd2,2988421,2026-08-21T06:37:20.946081+00:00,success,
BAJHLIP23020V012223,https://irdai.gov.in/documents/37343/931203/BAJHLIP23020V012223.pdf/fc18c97a-baf7-336e-bd80-e637b32dcb7d?version=1.0&t=1667711515563&download=true,data\policies\bajaj-allianz-general-insurance-company-limited\bajhlip23020v012223\global-health-care_146d125f92a0.pdf,146d125f92a09d3a88d8d05f19b564c826ee3b2dcbd0f13162b4c3b808623ddf,1399614,2026-08-21T06:37:31.764938+00:00,success,
CHIHLIP22223V012122,https://irdai.gov.in/documents/37343/931203/CHIHLIP22223V012122.pdf/dd8d4003-cce1-3f32-6c76-17cf1642087b?version=1.1&t=1668853983684&download=true,data\policies\care-health-insurance-limited\chihlip22223v012122\senior-health-advantage_aefbabe2a068.pdf,aefbabe2a068a1852a38a5ea68ea94b0e479dfd8eed0f44b18dfa020500bce3a,783691,2026-08-21T06:37:34.270542+00:00,success,
HDFHLIP23024V072223,https://irdai.gov.in/documents/37343/931203/HDFHLIP23024V072223.pdf/4bb864b2-c358-cde0-9230-9ae57c2097cd?version=1.0&t=1667711499204&download=true,data\policies\hdfc-ergo-general-insurance-company-limited\hdfhlip23024v072223\easy-health_a65d46ab5cc6.pdf,a65d46ab5cc6e14ab6ac61ea1246eebaf0a9b07f96ebbc792bdb0de6b95bf94a,1329008,2026-08-21T06:37:36.251687+00:00,success,
ICIHLIP22012V012223,https://irdai.gov.in/documents/37343/931203/ICIHLIP22012V012223.pdf/d258f1bb-a90d-5f13-c8bb-c0317ffae28b?version=1.0&t=1669349189166&download=true,data\policies\icici-lombard-general-insurance-company-limited\icihlip22012v012223\golden-shield_3e7430a5c12e.pdf,3e7430a5c12e9493b29ee435569e486ac3b4bf25e6186b3729581b2dd1b41d6a,392151,2026-08-21T06:37:37.522830+00:00,success,
MCIHLIP22224V012122,https://irdai.gov.in/documents/37343/931203/MCIHLIP22224V012122.pdf/6cf0a1af-1bc8-0c09-531a-671e15963135?version=1.1&t=1668851840343&download=true,data\policies\manipalcigna-health-insurance-company-limited\mcihlip22224v012122\manipalcigna-prohealth-prime_f7f42d0e0f3d.pdf,f7f42d0e0f3dcd46e1dda4028899edf221b43c747d0bbfc652c6ffb5eae62e1b,1536885,2026-08-21T06:37:39.072698+00:00,success,
NBHHLIP23007V052223,https://irdai.gov.in/documents/37343/931203/NBHHLIP23007V052223.pdf/106c00c6-3b29-7c1c-afea-770854505528?version=1.0&t=1669350170763&download=true,data\policies\niva-bupa-health-insurance-company-limited\nbhhlip23007v052223\health-companion_ae7f80f72ae3.pdf,ae7f80f72ae335913f34a3599f58c313cfd0174f39c922d68176cebe2b3a29da,1071348,2026-08-21T06:37:40.537145+00:00,success,
SBIHLIP23050V012223,https://irdai.gov.in/documents/37343/931203/SBIHLIP23050V012223.pdf/de34fc22-e5b0-d313-41b1-9bcd4243d600?version=1.0&t=1669351245742&download=true,data\policies\sbi-general-insurance-company-limited\sbihlip23050v012223\super-health-insurance_d540a2c2ee3f.pdf,d540a2c2ee3f5ab3ed78155c16686888a2d88e480a8642176354099a44d7ba18,927583,2026-08-21T06:37:42.274660+00:00,success,
SHAHLIP23037V072223,https://irdai.gov.in/documents/37343/931203/SHAHLIP23037V072223.pdf/2e8aa427-69f1-d423-d81b-ef9c7a8194bd?version=1.0&t=1669353086126&download=true,data\policies\star-health-and-allied-insurance-company-limited\shahlip23037v072223\medi-classic-insurance-policy-individual_07f9c059fbf1.pdf,07f9c059fbf122711cec35896158456f5f29cf273dc51b6bddf47af3bb9ce234,1056627,2026-08-21T06:37:43.683565+00:00,success,
TATHLIP22176V012122,https://irdai.gov.in/documents/37343/931203/Tata+AIG+Criti-+Medicare.pdf/58dddaeb-573c-074d-5891-3c809f2556e6?version=1.1&t=1668754767821&download=true,data\policies\tata-aig-general-insurance-company-limited\tathlip22176v012122\tata-aig-criti-medicare_ab4033372b97.pdf,ab4033372b971e451b2313a97252201c2a13bde7c88ea4d59aa481baeade5da4,2278405,2026-08-21T06:37:45.481994+00:00,success,
ADIHLIP21250V032021,https://irdai.gov.in/documents/37343/931203/ADIHLIP21250V032021_2020-2021.pdf/6224f254-de8b-5828-7e9b-bee7d9495c40?version=1.1&t=1668581031785&download=true,data\policies\aditya-birla-health-insurance-company-limited\adihlip21250v032021\activ-assure_251380ef72c4.pdf,251380ef72c439e8781829f2c6d2e23cc032998f960c4f8f31837af63bee1517,2285729,2026-08-21T06:37:47.254778+00:00,success,
BAJHLIP22024V032122,https://irdai.gov.in/documents/37343/931203/BAJHLIP22024V032122_HEALTH2003.pdf/3a731570-ef1e-4e72-c816-9cc50a42b658?version=1.1&t=1668843530403&download=true,data\policies\bajaj-allianz-general-insurance-company-limited\bajhlip22024v032122\family-care_5f2b8b3377dc.pdf,5f2b8b3377dce2097741152b2cfed4934e8c6a35a19edd2b51c13b64d4f0646d,1164697,2026-08-21T06:37:49.047388+00:00,success,
CHIHLIP22184V062122,https://irdai.gov.in/documents/37343/931203/CHIHLIP22184V062122_1.pdf/ca67b15b-236b-a41d-bf95-5c8671592fb0?version=1.0&t=1669358244048&download=true,data\policies\care-health-insurance-limited\chihlip22184v062122\care_304054cbc792.pdf,304054cbc792b447720b9639694f3bb35e0dd169b8444b50f02a0a74e661273c,828876,2026-08-21T06:37:50.688240+00:00,success,
HDFHLIP22193V072122,https://irdai.gov.in/documents/37343/931203/Optima+Restore.pdf/65c079a4-f778-55c7-8056-0726c695130a?version=1.1&t=1668753919263&download=true,data\policies\hdfc-ergo-general-insurance-company-limited\hdfhlip22193v072122\optima-restore_22fbe97a8a1e.pdf,22fbe97a8a1e729b3f0514fddbe7b19f6890f5554be3d47b542736b0c5157253,1331803,2026-08-21T06:37:52.176655+00:00,success,
ICIHLIP22206V022122,https://irdai.gov.in/documents/37343/931203/ICIHLIP22206V022122.pdf/279a2804-73dc-b129-daea-cdece2013079?version=1.1&t=1668851331232&download=true,data\policies\icici-lombard-general-insurance-company-limited\icihlip22206v022122\health-advantedge_ad568d14c4ac.pdf,ad568d14c4ac13628a2af5a56f00a6ff3276d17f4a82c7b01bb0855ef2de23b7,2059750,2026-08-21T06:37:54.025405+00:00,success,
MCIHLIP22211V062122,https://irdai.gov.in/documents/37343/931203/MCIHLIP22211V062122.pdf/b3a179da-4a2e-b4f2-27db-11779ec9a3cf?version=1.1&t=1668851771621&download=true,data\policies\manipalcigna-health-insurance-company-limited\mcihlip22211v062122\manipalcigna-prohealth-insurance_e19d944236cf.pdf,e19d944236cf288b03e96d38eedf8e72f44df4857fa767ef12e1c7290dcaebcf,1154564,2026-08-21T06:37:55.645827+00:00,success,
NBHHLIP22155V032122,https://irdai.gov.in/documents/37343/931203/NBHHLIP22155V032122_HEALTH2136.pdf/bbc8c177-4cef-4002-123e-6d72fefccb33?version=1.1&t=1668766849277&download=true,data\policies\niva-bupa-health-insurance-company-limited\nbhhlip22155v032122\health-pulse_63102c9c9b47.pdf,63102c9c9b47a56c124f4656a36cab9808afe994813c25558dc3146b1bbdd55f,1487687,2026-08-21T06:37:57.224138+00:00,success,
SBIHLIP22158V012122,https://irdai.gov.in/documents/37343/931203/SBIHLIP22158V012122_HEALTH2145.pdf/3c694d49-6698-db27-a41e-6baaea92345a?version=1.1&t=1668767356765&download=true,data\policies\sbi-general-insurance-company-limited\sbihlip22158v012122\arogya-shield_2615d7d0a987.pdf,2615d7d0a987d21677c59bd4629ce4283c6d12b95b20c4293cebc5adba2bb2a5,1145403,2026-08-21T06:37:58.665553+00:00,success,
SHAHLIP23017V012223,https://irdai.gov.in/documents/37343/931203/SHAHLIP23017V012223.pdf/f5426aca-4328-7a97-f93a-aba9e739e2bb?version=1.0&t=1669352686338&download=true,data\policies\star-health-and-allied-insurance-company-limited\shahlip23017v012223\star-health-assure-insurance-policy_87e2614374c9.pdf,87e2614374c92fb15918b6a096441ff1aba0f5dd02ec4b98edbbdae5fb157bf9,3242955,2026-08-21T06:38:00.442800+00:00,success,
TATHLIP21095V012021,https://irdai.gov.in/documents/37343/931203/TATHLIP21095V012021_2020-2021.pdf/44194f6f-b63e-783e-6fa4-6f0c503aa9b3?version=1.1&t=1668152378226&download=true,data\policies\tata-aig-general-insurance-company-limited\tathlip21095v012021\corona-kavach-policy-tata-aig-general-insurance-company-limited_c7358441450c.pdf,c7358441450cedf93542538930176da5b29ce710e6eaaa3418af25481a5f4174,853808,2026-08-21T06:38:01.849506+00:00,success,
ADIHLIP21080V012021,https://irdai.gov.in/documents/37343/931203/ADIHLIP21080V012021_2020-2021.pdf/ac6c7fde-ad37-6ac5-1734-e3818f0d3632?version=1.1&t=1668155000658&download=true,data\policies\aditya-birla-health-insurance-company-limited\adihlip21080v012021\corona-kavach-policy-aditya-birla-health-insurance-company-limited_a35c07bfac83.pdf,a35c07bfac830a2bb1d57fb4402c78f87772516a9d90abe06ae96d348397b760,1555899,2026-08-21T06:38:03.390951+00:00,success,
BAJHLIP22019V022122,https://irdai.gov.in/documents/37343/931203/BAJHLIP22019V022122_HEALTH2002.pdf/14747491-6bac-bc1b-8612-1f340e4b8760?version=1.1&t=1668843444730&download=true,data\policies\bajaj-allianz-general-insurance-company-limited\bajhlip22019v022122\m-care_22b8f270cb11.pdf,22b8f270cb11141cf671329df20fdacfcc5f5002ea16f79634114f5ebf1904cd,750871,2026-08-21T06:38:04.604877+00:00,success,
CHIHLIP22071V012122,https://irdai.gov.in/documents/37343/931203/Care+Classic.pdf/7be83790-6e88-553b-b72b-a21de4930483?version=1.2&t=1668753400254&download=true,data\policies\care-health-insurance-limited\chihlip22071v012122\care-classic_9f8bb0fd5c6b.pdf,9f8bb0fd5c6bc58ff6b2774cd0517479452e544778ac1c8da96f7a49b00976d5,388428,2026-08-21T06:38:05.823835+00:00,success,
HDFHLIP22145V032122,https://irdai.gov.in/documents/37343/931203/HDFHLIP22145V032122_HEALTH2099.pdf/7c1a2a96-26d2-f8f9-10ac-d177a9eafe6c?version=1.1&t=1668842706579&download=true,data\policies\hdfc-ergo-general-insurance-company-limited\hdfhlip22145v032122\my-health-critical-suraksha-plus_28c9bdb7f86c.pdf,28c9bdb7f86cb2a9d5c5d2a3f9d8bfeeb68127879236d2819f342c23ef00f784,1756662,2026-08-21T06:38:07.453655+00:00,success,
ICIHLIP22131V012122,https://irdai.gov.in/documents/37343/931203/ICIHLIP22131V012122_HEALTH2108.pdf/77aad9fd-413b-ed25-dc17-9890b0528c72?version=1.1&t=1668755447141&download=true,data\policies\icici-lombard-general-insurance-company-limited\icihlip22131v012122\criti-shield-plus_674471ab1168.pdf,674471ab1168be7ff7b63f9e99a162f66e5518dc5495ceef48c567d6fcbfc6bb,1411032,2026-08-21T06:38:09.035354+00:00,success,
MCIHLIP23022V032223,https://irdai.gov.in/documents/37343/931203/MCIHLIP23022V032223.pdf/95221470-886d-ff52-2a78-b1031aaddee7?version=1.0&t=1669349551633&download=true,data\policies\manipalcigna-health-insurance-company-limited\mcihlip23022v032223\manipalcigna-super-top-up_e1d0b8408f5a.pdf,e1d0b8408f5a30cd8a1c1d80cfa25202e42b1b1944bce9b7f0779692a4df881f,980413,2026-08-21T06:38:10.421293+00:00,success,
NBHHLIP22156V032122,https://irdai.gov.in/documents/37343/931203/NBHHLIP22156V032122_HEALTH2137.pdf/905480e4-4dcd-831b-39b4-1edfeb74196f?version=1.1&t=1668766906943&download=true,data\policies\niva-bupa-health-insurance-company-limited\nbhhlip22156v032122\health-recharge_8e692c4c84b8.pdf,8e692c4c84b8eb44c403268ff99d85035daf5b92571e852d22d2e4e5bfee39f9,1166912,2026-08-21T06:38:11.892746+00:00,success,
SBIHLIP22135V032122,https://irdai.gov.in/documents/37343/931203/SBIHLIP22135V032122_HEALTH2141.pdf/e7f4df16-6ee8-8582-134d-af29a8763e91?version=1.1&t=1668767168288&download=true,data\policies\sbi-general-insurance-company-limited\sbihlip22135v032122\arogya-plus-policy_40b2a340ecba.pdf,40b2a340ecbab242d4ae7189eadb1ced59c3612aa012b2cfac303281b6881a87,710386,2026-08-21T06:38:13.230632+00:00,success,
