uin,archive_status,financial_year,insurer,product_name,approval_date,product_type,document_url,document_text,scraped_at,approval_date_iso,insurer_code,uin_category,uin_type,uin_serial,uin_version,canonical_insurer,line_key,version_num,is_latest_version,product_key,score
ADIHLIP21574V032021,Non-Archived,2020-2021,Aditya Birla Health Insurance Co. Ltd,Activ Health,01-08-2021,Revision,https://irdai.gov.in/documents/37343/931203/ADIHLIP21574V032021_2020-2021.pdf/0b0783bb-0000-9a96-54b3-729f4cc5974d?version=1.1&t=1668578608012&download=true,ADIHLIP21574V032021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2021-08-01,ADI,HL,IP,21574,03,Aditya Birla Health Insurance Company Limited,ADI|HL|IP|21574,3,True,activ health,196
BAJHLIP23020V012223,Non-Archived,2022-2023,Bajaj Allianz General Insurance Co. Ltd.,Global Health Care,06-05-2022,Individual,https://irdai.gov.in/documents/37343/931203/BAJHLIP23020V012223.pdf/fc18c97a-baf7-336e-bd80-e637b32dcb7d?version=1.0&t=1667711515563&download=true,BAJHLIP23020V012223.pdf,2026-08-21T06:22:28.557237+00:00,2022-05-06,BAJ,HL,IP,23020,01,Bajaj Allianz General Insurance Company Limited,BAJ|HL|IP|23020,1,True,global health care,198
CHIHLIP22223V012122,Non-Archived,2021-2022,Care Health Insurance Ltd.,Senior Health Advantage,08-03-2022,Individual,https://irdai.gov.in/documents/37343/931203/CHIHLIP22223V012122.pdf/dd8d4003-cce1-3f32-6c76-17cf1642087b?version=1.1&t=1668853983684&download=true,CHIHLIP22223V012122.pdf,2026-08-21T06:22:28.557237+00:00,2022-03-08,CHI,HL,IP,22223,01,Care Health Insurance Limited,CHI|HL|IP|22223,1,True,senior health advantage,198
HDFHLIP23024V072223,Non-Archived,2022-2023,HDFC ERGO General Insurance Company Limited.,Easy Health,20-05-2022,Revision,https://irdai.gov.in/documents/37343/931203/HDFHLIP23024V072223.pdf/4bb864b2-c358-cde0-9230-9ae57c2097cd?version=1.0&t=1667711499204&download=true,HDFHLIP23024V072223.pdf,2026-08-21T06:22:28.557237+00:00,2022-05-20,HDF,HL,IP,23024,07,HDFC ERGO General Insurance Company Limited,HDF|HL|IP|23024,7,True,easy health,198
ICIHLIP22012V012223,Non-Archived,2022-2023,ICICI Lombard GIC Ltd,Golden Shield,12-04-2022,Individual,https://irdai.gov.in/documents/37343/931203/ICIHLIP22012V012223.pdf/d258f1bb-a90d-5f13-c8bb-c0317ffae28b?version=1.0&t=1669349189166&download=true,ICIHLIP22012V012223.pdf,2026-08-21T06:22:28.557237+00:00,2022-04-12,ICI,HL,IP,22012,01,ICICI Lombard General Insurance Company Limited,ICI|HL|IP|22012,1,True,golden shield,198
MCIHLIP22224V012122,Non-Archived,2021-2022,ManipalCigna Health Insurance Co. Ltd.,ManipalCigna ProHealth Prime,09-03-2022,Individual,https://irdai.gov.in/documents/37343/931203/MCIHLIP22224V012122.pdf/6cf0a1af-1bc8-0c09-531a-671e15963135?version=1.1&t=1668851840343&download=true,MCIHLIP22224V012122.pdf,2026-08-21T06:22:28.557237+00:00,2022-03-09,MCI,HL,IP,22224,01,ManipalCigna Health Insurance Company Limited,MCI|HL|IP|22224,1,True,manipalcigna prohealth prime,198
NBHHLIP23007V052223,Non-Archived,2022-2023,Niva Bupa Health Insurance Company Limited,Health Companion,05-05-2022,Revision,https://irdai.gov.in/documents/37343/931203/NBHHLIP23007V052223.pdf/106c00c6-3b29-7c1c-afea-770854505528?version=1.0&t=1669350170763&download=true,NBHHLIP23007V052223.pdf,2026-08-21T06:22:28.557237+00:00,2022-05-05,NBH,HL,IP,23007,05,Niva Bupa Health Insurance Company Limited,NBH|HL|IP|23007,5,True,health companion,198
SBIHLIP23050V012223,Non-Archived,2022-2023,SBI General Insurance Company Limited,Super Health Insurance,23-06-2022,Individual,https://irdai.gov.in/documents/37343/931203/SBIHLIP23050V012223.pdf/de34fc22-e5b0-d313-41b1-9bcd4243d600?version=1.0&t=1669351245742&download=true,SBIHLIP23050V012223.pdf,2026-08-21T06:22:28.557237+00:00,2022-06-23,SBI,HL,IP,23050,01,SBI General Insurance Company Limited,SBI|HL|IP|23050,1,True,super health,198
SHAHLIP23037V072223,Non-Archived,2022-2023,Star Health And Allied Insurance Co. Ltd,Medi Classic Insurance Policy (Individual),13-06-2022,Revision,https://irdai.gov.in/documents/37343/931203/SHAHLIP23037V072223.pdf/2e8aa427-69f1-d423-d81b-ef9c7a8194bd?version=1.0&t=1669353086126&download=true,SHAHLIP23037V072223.pdf,2026-08-21T06:22:28.557237+00:00,2022-06-13,SHA,HL,IP,23037,07,Star Health and Allied Insurance Company Limited,SHA|HL|IP|23037,7,True,medi classic individual,198
TATHLIP22176V012122,Non-Archived,2021-2022,Tata AIG General Insuarance Co Ltd,Tata AIG Criti- Medicare,03-11-2021,Health,https://irdai.gov.in/documents/37343/931203/Tata+AIG+Criti-+Medicare.pdf/58dddaeb-573c-074d-5891-3c809f2556e6?version=1.1&t=1668754767821&download=true,Tata AIG Criti- Medicare.pdf,2026-08-21T06:22:28.557237+00:00,2021-11-03,TAT,HL,IP,22176,01,Tata AIG General Insurance Company Limited,TAT|HL|IP|22176,1,True,tata aig criti medicare,196
ADIHLIP21250V032021,Non-Archived,2020-2021,Aditya Birla Health Insurance Co. Ltd.,Activ Assure,15-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/ADIHLIP21250V032021_2020-2021.pdf/6224f254-de8b-5828-7e9b-bee7d9495c40?version=1.1&t=1668581031785&download=true,ADIHLIP21250V032021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-15,ADI,HL,IP,21250,03,Aditya Birla Health Insurance Company Limited,ADI|HL|IP|21250,3,True,activ assure,194
BAJHLIP22024V032122,Non-Archived,2021-2022,Bajaj Allianz General Insurance Co. Ltd.,Family Care,27-05-2021,Revision,https://irdai.gov.in/documents/37343/931203/BAJHLIP22024V032122_HEALTH2003.pdf/3a731570-ef1e-4e72-c816-9cc50a42b658?version=1.1&t=1668843530403&download=true,BAJHLIP22024V032122_HEALTH2003.pdf,2026-08-21T06:22:28.557237+00:00,2021-05-27,BAJ,HL,IP,22024,03,Bajaj Allianz General Insurance Company Limited,BAJ|HL|IP|22024,3,True,family care,196
CHIHLIP22184V062122,Non-Archived,2021-2022,Care Health Insurance Ltd,Care,25-11-2021,Revision,https://irdai.gov.in/documents/37343/931203/CHIHLIP22184V062122_1.pdf/ca67b15b-236b-a41d-bf95-5c8671592fb0?version=1.0&t=1669358244048&download=true,CHIHLIP22184V062122_1.pdf,2026-08-21T06:22:28.557237+00:00,2021-11-25,CHI,HL,IP,22184,06,Care Health Insurance Limited,CHI|HL|IP|22184,6,True,care,196
HDFHLIP22193V072122,Non-Archived,2021-2022,HDFC ERGO General Insurance Company Ltd.,Optima Restore,28-12-2021,health,https://irdai.gov.in/documents/37343/931203/Optima+Restore.pdf/65c079a4-f778-55c7-8056-0726c695130a?version=1.1&t=1668753919263&download=true,Optima Restore.pdf,2026-08-21T06:22:28.557237+00:00,2021-12-28,HDF,HL,IP,22193,07,HDFC ERGO General Insurance Company Limited,HDF|HL|IP|22193,7,True,optima restore,196
ICIHLIP22206V022122,Non-Archived,2021-2022,ICICI Lombard GI Co. Ltd.,Health advantEDGE,02-02-2022,Revision,https://irdai.gov.in/documents/37343/931203/ICIHLIP22206V022122.pdf/279a2804-73dc-b129-daea-cdece2013079?version=1.1&t=1668851331232&download=true,ICIHLIP22206V022122.pdf,2026-08-21T06:22:28.557237+00:00,2022-02-02,ICI,HL,IP,22206,02,ICICI Lombard General Insurance Company Limited,ICI|HL|IP|22206,2,True,health advantedge,198
MCIHLIP22211V062122,Non-Archived,2021-2022,ManipalCigna Health Insurance Co.,ManipalCigna ProHealth Insurance,11-02-2022,Revision,https://irdai.gov.in/documents/37343/931203/MCIHLIP22211V062122.pdf/b3a179da-4a2e-b4f2-27db-11779ec9a3cf?version=1.1&t=1668851771621&download=true,MCIHLIP22211V062122.pdf,2026-08-21T06:22:28.557237+00:00,2022-02-11,MCI,HL,IP,22211,06,ManipalCigna Health Insurance Company Limited,MCI|HL|IP|22211,6,True,manipalcigna prohealth,198
NBHHLIP22155V032122,Non-Archived,2021-2022,Niva Bupa Health Insurance co ltd,Health Pulse,03-09-2021,Revision,https://irdai.gov.in/documents/37343/931203/NBHHLIP22155V032122_HEALTH2136.pdf/bbc8c177-4cef-4002-123e-6d72fefccb33?version=1.1&t=1668766849277&download=true,NBHHLIP22155V032122_HEALTH2136.pdf,2026-08-21T06:22:28.557237+00:00,2021-09-03,NBH,HL,IP,22155,03,Niva Bupa Health Insurance Company Limited,NBH|HL|IP|22155,3,True,health pulse,196
SBIHLIP22158V012122,Non-Archived,2021-2022,SBI General Insurance Co.Ltd.,Arogya Shield,09-09-2021,Retail,https://irdai.gov.in/documents/37343/931203/SBIHLIP22158V012122_HEALTH2145.pdf/3c694d49-6698-db27-a41e-6baaea92345a?version=1.1&t=1668767356765&download=true,SBIHLIP22158V012122_HEALTH2145.pdf,2026-08-21T06:22:28.557237+00:00,2021-09-09,SBI,HL,IP,22158,01,SBI General Insurance Company Limited,SBI|HL|IP|22158,1,True,arogya shield,196
